date,algorithm,chosen_treatment,chosen_condition,num_subgroups,delta,epsilon,status,num_attributes,run_time_seconds
2026-02-17 13:04:50,RW,{'Educational attainment': 21},{'With a disability': 2},7,100,17500,Homogeneous,2,4.370642967522144
2026-02-17 13:04:54,RW,{'Educational attainment': 21},{'With a disability': 2},7,100,17500,Homogeneous,2,4.390839343890548
2026-02-17 13:04:59,RW,{'Educational attainment': 22},{'With a disability': 2},8,100,17500,Homogeneous,2,4.624418152496219
2026-02-17 13:05:04,RW,{'Educational attainment': 22},{'With a disability': 2},8,100,17500,Homogeneous,2,4.626968642696738
2026-02-17 13:05:08,RW,{'Educational attainment': 22},{'With a disability': 2},8,100,17500,Homogeneous,2,4.551051162183285
2026-02-17 13:05:11,RW,{'Educational attainment': 20},{'Sex': 2},8,100,17500,Homogeneous,2,2.750594874843955
2026-02-17 13:05:14,RW,{'Educational attainment': 20},{'Sex': 2},8,100,17500,Homogeneous,2,2.742492947727442
2026-02-17 13:05:16,RW,{'Educational attainment': 20},{'Sex': 2},8,100,17500,Homogeneous,2,2.726863604038954
2026-02-17 13:05:19,RW,{'Educational attainment': 21},{'Sex': 1},8,100,17500,Homogeneous,2,2.689471935853362
2026-02-17 13:05:22,RW,{'Educational attainment': 21},{'Sex': 1},8,100,17500,Homogeneous,2,2.8112673424184322
2026-02-17 13:05:25,RW,{'Educational attainment': 21},{'Sex': 1},8,100,17500,Homogeneous,2,2.7904502525925636
2026-02-17 13:05:28,RW,{'Educational attainment': 20},{'Sex': 1},8,100,17500,Homogeneous,2,2.7061682753264904
2026-02-17 13:05:30,RW,{'Educational attainment': 20},{'Sex': 1},8,100,17500,Homogeneous,2,2.758096942678094
2026-02-17 13:05:33,RW,{'Educational attainment': 20},{'Sex': 1},8,100,17500,Homogeneous,2,2.6698326263576746
2026-02-17 13:05:34,RW,{'Insurance through a current or former employer or union': 1},{'Sex': 1},1,100,17500,NOT Homogeneous,2,1.0172174330800772
2026-02-17 13:05:35,RW,{'Insurance through a current or former employer or union': 1},{'Sex': 1},4,100,17500,NOT Homogeneous,2,1.0175912845879793
2026-02-17 13:05:36,RW,{'Insurance through a current or former employer or union': 1},{'Sex': 1},4,100,17500,NOT Homogeneous,2,1.0437677670270205
2026-02-17 13:05:42,FPGrowth,{'Insurance through a current or former employer or union': 1},{'With a disability': 2},5,100,17500,Homogeneous,2,6.0670294519513845
2026-02-17 13:05:48,FPGrowth,{'Public health coverage': 2},{'With a disability': 2},5,100,17500,NOT Homogeneous,2,5.7901829816401005
2026-02-17 13:05:55,FPGrowth,{'Private health insurance coverage': 2},{'With a disability': 2},9,100,17500,NOT Homogeneous,2,6.33668277785182
2026-02-17 13:06:01,FPGrowth,{'Educational attainment': 20},{'With a disability': 2},8,100,17500,Homogeneous,2,6.435348112136126
2026-02-17 13:06:08,FPGrowth,{'Educational attainment': 21},{'With a disability': 2},7,100,17500,Homogeneous,2,6.776405723765492
2026-02-17 13:06:15,FPGrowth,{'Educational attainment': 22},{'With a disability': 2},8,100,17500,Homogeneous,2,6.383187660947442
