Hobby,Country,Student,FormalEducation,UndergradMajor,DevType,YearsCoding,HoursComputer,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Dependents,Continent,Age,ConvertedSalary,HDI,GDP,GINI
1,13,1,1,2,15,6,2,4,1,1,4,1,2,5,1,52404,3,3,2
1,6,2,1,2,5,7,3,3,1,1,2,3,2,4,2,1884,2,3,2
1,18,1,1,2,2,2,2,3,1,1,3,1,2,1,3,587460,1,1,3
1,19,1,0,2,2,8,2,3,1,1,2,1,1,1,3,93840,1,1,3
1,11,1,1,3,6,1,1,4,1,1,2,2,1,1,4,85671,1,1,1
2,2,1,1,2,2,11,2,3,1,1,1,1,1,2,4,90000,1,2,2
1,2,1,1,3,2,2,2,3,1,1,3,1,1,2,3,91000,1,2,2
1,2,1,0,2,2,6,3,2,1,1,3,1,1,2,1,112000,1,2,2
1,14,1,1,2,2,2,1,3,1,1,3,3,2,2,2,57170,1,1,1
1,2,1,1,2,15,6,3,2,1,1,8,3,1,2,1,120000,1,2,2
1,2,1,1,3,10,1,2,1,1,1,2,1,1,2,4,130000,1,2,2
1,1,1,1,2,6,8,2,3,1,1,4,1,1,1,3,58340,1,1,1
1,2,1,0,2,2,10,2,2,1,1,1,1,1,2,1,78000,1,2,2
2,3,1,1,2,2,2,2,4,1,1,3,2,2,1,2,44064,1,1,3
1,3,1,1,2,7,3,1,1,1,1,1,1,2,1,3,51408,1,1,3
1,18,1,0,2,2,7,2,4,1,1,3,1,2,1,3,30840,1,1,3
1,10,1,1,2,5,2,2,1,1,1,2,1,2,1,3,41612,1,1,1
1,2,1,1,2,13,8,3,3,1,1,1,1,2,2,3,55000,1,2,2
1,2,1,1,2,2,3,2,2,1,1,5,1,2,2,3,75000,1,2,2
1,14,2,0,2,2,8,2,3,1,1,1,1,2,2,3,60391,1,1,1
1,3,1,0,2,2,7,3,3,1,1,3,1,2,1,3,41124,1,1,3
1,6,1,1,2,2,4,2,3,1,1,10,1,1,4,3,10958,2,3,2
2,2,1,1,2,2,3,1,1,1,1,1,1,2,2,3,70000,1,2,2
2,6,1,1,3,6,7,1,4,1,1,1,3,2,4,3,5479,2,3,2
1,14,1,1,2,14,1,2,1,1,1,1,2,1,2,3,96626,1,1,1
1,2,1,1,2,4,3,2,2,1,1,5,1,2,2,2,58000,1,2,2
1,2,1,0,2,2,8,2,1,1,1,2,1,2,2,3,280000,1,2,2
1,1,1,1,2,10,10,2,4,6,1,2,2,2,1,4,106956,1,1,1
1,2,1,1,2,1,7,1,2,1,1,3,1,2,2,3,53000,1,2,2
1,2,1,1,2,2,6,3,3,1,3,4,1,2,2,1,162100,1,2,2
1,2,1,1,2,2,2,2,4,1,1,2,1,2,2,3,68000,1,2,2
1,2,1,1,2,3,3,2,4,4,1,1,1,2,2,2,75000,1,2,2
1,2,1,0,2,5,3,2,3,7,2,3,1,2,2,2,684000,1,2,2
1,14,1,1,2,2,2,2,1,1,1,4,1,2,2,2,53144,1,1,1
1,10,1,1,2,2,3,3,3,1,1,2,2,2,1,2,36720,1,1,1
1,2,3,1,1,5,7,1,1,1,1,1,3,2,2,3,80000,1,2,2
1,6,1,1,2,2,4,2,3,1,1,9,3,1,4,2,0,2,3,2
1,9,3,0,2,14,3,3,3,1,1,2,1,1,1,3,51408,1,1,1
2,14,1,1,1,14,7,1,4,1,2,4,1,2,2,2,45897,1,1,1
1,6,1,1,3,3,7,2,1,1,1,1,1,1,4,3,14089,2,3,2
1,6,1,1,2,2,8,2,3,1,1,3,3,2,4,3,12524,2,3,2
1,6,2,1,2,3,7,2,4,1,1,1,3,2,4,3,3914,2,3,2
1,1,1,1,3,2,2,2,3,1,1,1,1,2,1,3,69452,1,1,1
1,1,1,1,1,4,4,2,2,4,1,5,1,1,1,1,25008,1,1,1
1,14,1,1,1,2,2,2,3,1,1,8,3,2,2,2,96626,1,1,1
2,5,1,1,2,3,8,1,4,1,1,3,1,2,3,3,199950,1,1,1
1,15,1,0,2,2,5,2,3,1,1,4,3,2,1,3,34269,1,1,1
2,3,1,1,2,2,5,1,3,1,1,3,1,2,1,3,60216,1,1,3
1,9,1,0,2,3,2,2,2,1,1,3,1,2,1,1,73433,1,1,1
1,1,1,1,2,9,3,2,4,1,1,1,1,2,1,2,40282,1,1,1
2,5,1,1,2,4,8,2,2,1,1,1,3,1,3,3,71976,1,1,1
1,5,1,1,2,2,3,1,1,1,1,1,1,2,3,3,63979,1,1,1
1,6,1,1,2,4,7,2,3,4,1,1,3,1,4,3,12524,2,3,2
1,13,3,0,2,2,4,2,1,1,1,3,1,2,5,2,1872,3,3,2
1,10,1,0,2,2,11,2,4,1,1,8,1,2,1,1,66084,1,1,1
2,2,1,1,1,6,7,1,3,1,1,8,1,2,2,3,2000000,1,2,2
1,9,1,0,2,2,7,2,3,1,1,1,1,2,1,2,40392,1,1,1
1,2,1,1,2,2,3,1,2,1,1,3,1,2,2,3,2000000,1,2,2
1,6,2,1,1,2,4,2,3,4,1,3,1,2,4,2,1500,2,3,2
2,6,1,1,2,2,5,2,3,1,1,1,1,2,4,1,36005,2,3,2
2,11,1,1,2,14,1,2,2,1,1,2,1,1,1,4,104030,1,1,1
2,14,1,0,2,10,11,1,3,1,1,1,1,2,2,4,80521,1,1,1
1,2,1,1,2,2,3,2,3,1,1,1,1,2,2,3,80000,1,2,2
1,2,1,1,3,2,6,2,3,1,1,7,1,1,2,1,136500,1,2,2
1,9,1,1,2,2,10,2,3,1,1,2,1,2,1,1,171343,1,1,1
2,10,3,1,2,5,7,3,2,1,1,3,3,2,1,2,23496,1,1,1
1,13,1,1,2,2,3,1,2,1,1,2,2,2,5,3,27696,3,3,2
1,10,1,1,2,2,9,2,3,1,1,1,1,1,1,4,48955,1,1,1
