treatment_col,treatment_value,epsilon,delta_percent,found,found_filters,found_size,found_ate,candidates_enumerated,candidates_evaluated,runtime_seconds
SexualOrientation,1,5000.0,0.8,True,{'Gender': 1},35200.0,1036.9243250636432,3,1,0.20782962499652058
SexualOrientation,1,10000.0,0.5,True,{'Gender': 1},35200.0,1036.9243250636432,67,1,1.1941647910025495
SexualOrientation,1,10000.0,0.6,True,{'Gender': 1},35200.0,1036.9243250636432,28,1,0.659862874999817
SexualOrientation,1,10000.0,0.7,True,{'Gender': 1},35200.0,1036.9243250636432,11,1,0.3867514170015056
SexualOrientation,1,10000.0,0.8,True,{'Gender': 1},35200.0,1036.9243250636432,3,1,0.21796787499988568
EducationParents,1,100.0,0.5,True,{'Age': 3},19848.0,36.74091922193065,118,95,11.277895833998627
EducationParents,1,100.0,0.6,False,,,,47,47,6.471718458000396
EducationParents,1,100.0,0.7,False,,,,19,19,2.957772500001738
EducationParents,1,100.0,0.8,False,,,,5,5,0.7512835830020776
EducationParents,1,500.0,0.5,True,{'Age': 3},19848.0,36.74091922193065,118,95,17.588965082999493
EducationParents,1,500.0,0.6,False,,,,47,47,7.345279041001049
EducationParents,1,500.0,0.7,False,,,,19,19,3.310526375000336
EducationParents,1,500.0,0.8,False,,,,5,5,0.8612797500027227
EducationParents,1,1000.0,0.5,True,{'Age': 3},19848.0,36.74091922193065,118,95,26.255210667000938
EducationParents,1,1000.0,0.6,False,,,,47,47,10.109026958001778
EducationParents,1,1000.0,0.7,False,,,,19,19,3.6010229169987724
EducationParents,1,1000.0,0.8,False,,,,5,5,0.8230675000013434
EducationParents,1,5000.0,0.5,True,{'Age': 3},19848.0,36.74091922193065,118,95,38.240778583000065
EducationParents,1,5000.0,0.6,False,,,,47,47,11.109542292000697
EducationParents,1,5000.0,0.7,False,,,,19,19,3.7274691660022654
EducationParents,1,5000.0,0.8,False,,,,5,5,0.8044899169981363
EducationParents,1,10000.0,0.5,True,{'Age': 3},19848.0,36.74091922193065,118,95,38.585164874999464
EducationParents,1,10000.0,0.6,False,,,,47,47,10.964855041998817
